what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1337508713614
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1337508713615
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1337508713632
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1337508713633
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1337508713633
started,bundle,org.eclipse.team.core,3.5.100.R36x_v20100825-0800,"org.eclipse.team.core",1337508713634
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1337508713635
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1337508713644
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1337508713645
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1337508713646
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1337508713647
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1337508713647
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1337508713648
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1337508713658
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1337508713658
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1337508713659
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1337508713659
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1337508713661
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1337508713661
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1337508713680
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1337508713680
os,sysinfo,,,"win32",1337508713684
arch,sysinfo,,,"x86_64",1337508713684
ws,sysinfo,,,"win32",1337508713684
locale,sysinfo,,,"es_ES",1337508713684
processors,sysinfo,,,"4",1337508713684
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1337508713684
java.runtime.version,sysinfo,,,"1.6.0_17-b04",1337508713684
java.specification.name,sysinfo,,,"Java Platform API Specification",1337508713684
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1337508713684
java.specification.version,sysinfo,,,"1.6",1337508713684
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1337508713684
java.version,sysinfo,,,"1.6.0_17",1337508713684
java.vm.info,sysinfo,,,"mixed mode",1337508713684
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1337508713684
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1337508713684
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1337508713684
java.vm.specification.version,sysinfo,,,"1.0",1337508713684
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1337508713684
java.vm.version,sysinfo,,,"14.3-b01",1337508713684
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1337508713982
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1337508714108
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337508744125
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337508746080
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337508746325
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1337508746924
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1337508747182
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1337508747230
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1337508747257
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1337508747269
